0.828	 0.1
0.867	 1.0
0.9596	 1.0
0.791	 0.1
0.79	 0.1
0.823	 1.0
0.906	 0.01
0.876	 0.001
0.918	 1.0
0.855	 1.5
0.92	 1.0
0.823	 0.013
0.973	 1.0
0.91	 1.0
0.743	 0.4
0.7842	 1.0
0.691	 0.005
0.843	 1.0
0.8779	 1.0
0.76	 0.1
0.586	 0.1
0.779	 0.14
0.992	 0.05
0.8892	 0.1
0.902	 0.1
0.838	 1.0
0.592	 0.1
0.953	 0.01
0.538	 0.001
0.9796	 0.75
0.6958	 0.01
0.86	 0.1
0.9103	 0.5
0.83	 0.1
0.815	 0.5
0.92	 5.0
0.7622	 0.1
0.626	 0.5
0.4534	 0.01
0.45	 1.0
0.86	 0.1
0.897	 1.5
0.938	 1.0
0.2012	 1.0
0.31	 0.005
0.838	 0.01
0.81	 1.0
0.8777	 1.0
0.8081	 0.01
0.615	 0.001
0.957	 1.0
0.513	 1.0
0.8298	 1.0
0.861	 1.0
0.897	 0.1
0.9061	 0.05
0.742	 0.01
0.4313	 1.0
0.88	 0.25
0.9739	 5.0
0.9165	 1.0
0.982	 0.1
0.4	 0.5
0.86	 0.01
0.95	 1.0
0.878	 0.0075
0.7027	 0.05
0.901	 0.1
0.978	 0.01
0.715	 0.25
0.7737	 0.05
0.94	 0.25
0.91	 2.5
0.906	 1.0
0.9401	 1.0
0.946	 1.0
0.9116	 0.5
0.904	 0.1
0.676	 1.0
0.294	 0.5
0.65	 0.001
0.3153	 0.05
0.9504	 1.0
0.938	 1.0
0.87	 0.05
0.441	 0.1
0.6474	 0.005
0.8134	 0.001
0.868	 0.01
0.89	 0.1
0.666	 1.0
0.646	 0.01
0.73	 0.2
0.673	 0.5
0.8719	 0.5
0.9389	 1.0
0.868	 0.1
0.522	 0.05
0.947	 0.001
0.0692	 0.25
0.8779	 0.1
0.632	 5.0
0.901	 0.01
0.94	 0.1
0.634	 1.0
0.78	 0.001
0.9072	 1.0
0.362	 0.1
0.78	 1.0
0.78	 0.5
0.9	 0.1
0.622	 0.01
0.8495	 5.0
0.92	 0.01
0.705	 0.001
0.88	 0.5
0.84	 0.1
0.4145	 0.005
0.8648	 5.0
0.8361	 0.01
0.843	 0.1
0.652	 0.5
0.5456	 5.0
0.9116	 0.5
0.96	 5.0
0.65	 0.001
0.7808	 0.1
0.527	 1.0
0.893	 1.0
0.974	 0.01
0.891	 1.0
0.8648	 0.1
0.9479	 5.0
0.557	 0.1
0.813	 0.05
0.37	 0.05
0.895	 1.0
0.9465	 0.5
0.97	 1.0
0.8587	 0.25
0.7473	 0.01
0.8822	 0.75
0.4375	 0.25
0.915	 0.1
0.7797	 0.1
0.564	 1.0
0.953	 1.0
0.96	 1.0
0.969	 1.0
0.923	 0.01
0.19	 0.1
0.953	 0.05
0.0719	 0.05
0.95	 1.0
0.936	 1.0
0.7359	 0.01
0.7153	 0.01
0.89	 0.1
0.88	 5.0
0.691	 0.05
0.934	 5.0
0.94	 1.0
0.899	 0.8
0.8551	 0.2
0.957	 1.0
0.74	 0.2
0.747	 0.1
0.505	 0.01
0.78	 0.01
0.98	 1.0
0.9354	 0.4
0.9704	 5.0
0.8035	 0.01
0.709	 0.001
0.6025	 0.05
0.923	 1.0
0.711	 0.01
0.657	 1.0
0.933	 1.0
0.96	 0.2
0.9346	 1.0
0.9609	 0.5
0.9	 2.5
0.773	 0.001
0.7057	 1.0
0.9592	 0.5
0.906	 0.01
0.91	 1.0
0.259	 0.001
0.709	 1.0
0.957	 1.0
0.81	 1.0
0.8993	 1.0
0.824	 0.25
0.8337	 5.0
0.904	 0.01
0.681	 0.001
0.9608	 0.1
0.836	 0.01
0.629	 5.0
0.81	 0.1
0.722	 0.009
0.85	 1.0
0.89	 1.0
0.82	 1.0
0.683	 0.5
0.705	 1.0
0.96	 0.1
0.8397	 1.2
0.67	 0.1
0.519	 0.01
0.5458	 0.5
0.881	 5.0
0.949	 5.0
0.87	 2.5
0.9298	 0.1
0.785	 0.1
0.91	 1.0
0.6047	 0.001
0.97	 1.0
0.8209	 0.01
0.9	 5.0
0.9065	 0.1
0.85	 2.0
0.88	 1.0
0.88	 1.0
0.842	 1.0
0.6205	 1.0
0.779	 0.01
