id,reconstruct_smiles,raw_smiles,tanimoto_similarity,reconstruct_molwt,reconstruct_logp,raw_molwt,raw_logp,delta_molwt,delta_logp
1,c1ccc2sc(CSCc3nc4ccccc4[nH]3)nc2c1,c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,0.781527531,311.435,4.606000000000003,328.487,5.339400000000003,-17.05200000000002,-0.7333999999999996
2,CCOP(=O)(O)C(NC)c1ccccc1O,CCOP(=O)(OCC)C(O)c1ccccc1,0.350631136,245.215,1.8321,244.22700000000003,2.943600000000001,0.9879999999999711,-1.1115000000000008
3,CN1CCN(Cc2ccc3ccccc3n2)cc1,CN1CCN(Cc2ccc3cccnc3c2O)CC1,0.387009472,239.322,2.4534000000000002,257.337,1.6877999999999997,-18.014999999999986,0.7656000000000005
4,CCCCCCn1cc[n+](C)c1.[I-],CCCn1cc[n+](C)c1.[I-],0.802139037,294.17999999999995,-1.1030999999999977,252.09899999999996,-2.273399999999997,42.08099999999999,1.1702999999999992
5,O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,0.839328537,239.23400000000004,3.1381000000000006,209.25200000000004,2.8121,29.982,0.3260000000000005
6,CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Cl)cc1,CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Br)cc1,0.818181818,285.73400000000004,4.742900000000003,330.18500000000006,4.852000000000003,-44.45100000000002,-0.10909999999999975
7,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,C(=N/c1ccc(Oc2ccc(/N=C/c3ccc4ccccc4n3)cc2)cc1)\c1ccc2ccccc2n1,0.67983368,470.5320000000001,7.562400000000007,478.5550000000002,8.076500000000006,-8.023000000000081,-0.5140999999999991
8,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,O=c1[nH]c2ccccc2nc1/C=C/c1ccc(Cl)cc1,0.938628159,248.285,3.0935000000000015,282.73,3.746900000000002,-34.44500000000002,-0.6534000000000004
9,Cc1nccc2c1[nH]c1ccccc12,C(=N/c1ccc(Oc2ccc(/N=C/c3ccc4ccccc4n3)cc2)cc1)\c1ccc2ccccc2n1,0.3875,182.226,3.0245200000000008,478.5550000000002,8.076500000000006,-296.3290000000002,-5.051980000000006
10,NC(=S)N/N=C/c1cccnc1,NC(=S)N/N=C/c1ccncc1,0.553191489,180.23600000000002,0.24869999999999998,180.23600000000002,0.24869999999999975,0.0,2.220446049250313e-16
11,Sc1nc(/N=C/c2ccco2)n[nH]1,Sc1nc(/N=C/c2cccs2)n[nH]1,0.531034483,194.21900000000002,1.4369999999999994,210.28700000000003,1.9054999999999995,-16.068000000000012,-0.46850000000000014
12,Clc1ccccc1-n1ccnc1,Clc1cccc(-n2ccnc2)c1,0.688022284,178.622,2.5256999999999996,178.622,2.5257000000000005,0.0,-8.881784197001252e-16
13,CN(C)c1ccc(-c2ccc(-c3ccc(N(C)C)cc3)o2)cc1,CN(C)c1ccc(-c2nnc(-c3ccc(N(C)C)cc3)o2)cc1,0.383763838,306.409,4.745600000000004,308.385,3.5356000000000023,-1.975999999999999,1.2100000000000017
14,N[C@@H](CS)C(=O)O,N[C@@H](CC(=O)O)C(=O)O,0.333333333,121.16099999999997,-0.6719000000000002,133.10299999999998,-1.127,-11.942000000000007,0.45509999999999984
