reconstruct_smiles	raw_smiles	tanimoto_similarity	reconstruct_molwt	reconstruct_logp	raw_molwt	raw_logp	delta_molwt	delta_logp
CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21	CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21	1.0	264.3	1.6967999999999999	264.3	1.6967999999999999	0.0	0.0
Oc1ccc(Cn2cccc2)cc1Br	COc1ccc(C=O)cc1Br	0.42118863	252.11100000000002	3.004500000000002	215.04599999999996	2.2702	37.065000000000055	0.734300000000002
COc1ccc(/C=C/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1	COc1ccc(/C=C/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1	1.0	347.418	3.9087200000000024	347.418	3.9087200000000024	0.0	0.0
CN1CCN(C(=O)NCc2ccc(O)c3ncccc23)CC1	CN1CCN(C(=S)NCc2ccc(O)c3ncccc23)CC1	0.822094692	300.3620000000001	1.3973999999999998	316.4300000000001	1.5622999999999996	-16.06800000000004	-0.16489999999999982
O=C1C=CC1C(=O)Nc1ccccc1	O=C1C=CC(=O)N1c1ccccc1	0.307377049	187.19800000000004	1.3801999999999996	173.17100000000002	1.1159999999999999	14.027000000000015	0.26419999999999977
Cc1cc(O)c(C(=O)C(C)Sc2ccc(N(C)C)cc2)c(=O)o1	Cc1cc(O)c(C(=O)/C=C/c2ccc(N(C)C)cc2)c(=O)o1	0.61208577	333.4090000000001	3.0833200000000014	299.3260000000001	2.615920000000001	34.08300000000003	0.4674000000000005
CCCCCCCCC1CCCOC(C2CCO2)OC2OC(C)(C)OC21	CCCCCCCCCCCCOC1C(C2CO2)OC2OC(C)(C)OC21	0.624137931	370.5300000000001	4.772800000000005	370.5300000000001	4.567700000000004	0.0	0.20510000000000073
CCCCCCCC[N+](C)(C)COCCOC	CCCCCCCC[N+](C)(C)CCOCCO.[Br-]	0.470588235	246.41499999999996	3.043800000000002	326.31899999999996	-0.5637999999999961	-79.904	3.607599999999998
CC1(C)C2=NC(C(=O)N(C)c3ccccc3)C(=O)N2C1C(=O)O	CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O	0.468043899	315.32900000000006	0.7517	349.4120000000001	0.3181000000000002	-34.08300000000003	0.4335999999999998
CC(C)(c1ccc(OC(=O)CN2CC2)cc1)Oc1ccc(NC(=O)C2CC2)cccc1	O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)[C@H]3c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1	0.368200837	420.5090000000001	3.5793000000000026	740.6700000000003	4.14160000000001	-320.1610000000002	-0.5623000000000076
OCc1cn(Cc2ccccc2)nn1	OCc1cn(Cc2ccccc2)nn1	1.0	189.21800000000002	0.8187	189.21800000000002	0.8187	0.0	0.0
CCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1	CCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1	1.0	380.58500000000015	2.591000000000001	380.58500000000015	2.591000000000001	0.0	0.0
Oc1ccc(CC2NCCO2)c2cccnc12	Oc1ccc(CC2=NCCO2)c2cccnc12	0.715068493	230.267	1.4288	228.251	1.9116	2.015999999999991	-0.4827999999999999
CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21	CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21	1.0	325.206	2.3202	325.206	2.3202	0.0	0.0
COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1	COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1	1.0	312.32099999999997	3.0547000000000013	312.32099999999997	3.0547000000000013	0.0	0.0
Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1	Cc1cc(C)n(CC(=O)N/N=C/c2ccccc2)n1	1.0	256.309	1.65024	256.309	1.65024	0.0	0.0
Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1	Cc1ccc(NC(=O)Cn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1	1.0	375.8590000000001	5.3038200000000035	375.8590000000001	5.3038200000000035	0.0	0.0
