id,reconstruct_smiles,raw_smiles,tanimoto_similarity,reconstruct_molwt,reconstruct_logp,raw_molwt,raw_logp,delta_molwt,delta_logp
1,CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.298209366,417.64200000000017,6.500300000000007,349.4120000000001,0.3181000000000002,68.23000000000008,6.182200000000007
2,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.925403226,408.3100000000002,4.142100000000003,418.8620000000001,3.3969000000000023,-10.551999999999907,0.7452000000000005
3,CCCCCCCCCCCCCCC[N+](C)(CO)O.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.355191257,368.3999999999999,1.8672,382.427,0.9966000000000024,-14.0270000000001,0.8705999999999976
4,C[NH+]1CN(CCCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.276190476,311.332,-2.097199999999999,411.346,-1.174199999999997,-100.01400000000001,-0.923000000000002
5,CCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCC.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.388059701,645.9400000000003,8.535700000000006,382.427,0.9966000000000024,263.51300000000026,7.539100000000003
6,O=C(C[n+]1ccccn1)c1ccc(Cl)cc1.[Br-],[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,0.284883721,313.582,-1.0906000000000002,295.17999999999995,-1.157799999999998,18.402000000000044,0.0671999999999977
7,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.388059701,645.9400000000004,8.535700000000006,382.427,0.9966000000000024,263.5130000000004,7.539100000000003
8,CCCCCCCCCCCCCCCC[N+](C)(C)CCCO.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.591549296,408.50900000000007,2.9305000000000008,382.427,0.9966000000000024,26.08200000000005,1.9338999999999984
9,CCCCCCCC[N+](C)(C)CCOCO.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.768707483,312.292,-0.6062999999999965,382.427,0.9966000000000024,-70.13500000000005,-1.6028999999999989
10,COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCBr)cccccc1OC.[Br-].[Br-],CCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCC)cc1OC.[Br-].[Na+],0.485316847,1005.021,10.209599999999998,629.5930000000005,0.783300000000007,375.42799999999943,9.42629999999999
11,CCCCCCCCCCCCCCCCCCCCCP(=O)(O)(O)O,O=P(O)(O)C(O)c1ccccc1,0.11147541,394.577,6.77120000000001,188.119,0.8552,206.458,5.91600000000001
12,Nc1nc2ccccc2[nH]1,ClCc1nc2ccccc2[nH]1,0.505338078,133.15399999999997,1.1451,166.611,2.3017,-33.45700000000002,-1.1565999999999999
13,O=Cc1cc2cc([N+](=O)[O-])ccc2nc1Cl,O=Cc1cc2cc(Cl)ccc2nc1Cl,0.671497585,236.614,2.6089,226.062,3.3541000000000007,10.551999999999992,-0.7452000000000005
