reconstruct_smiles,raw_smiles,tanimoto_similarity,Concentration_mM,IE_abs
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.298209366,0.1,0.4734542499999981
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.298209366,0.5,0.27416783333333494
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.298209366,5.0,0.10443630000000159
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.925403226,0.1,0.046592999999998
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.925403226,0.01,0.1443335000000019
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.925403226,0.5,0.02794649999999843
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc([N+](=O)[O-])cc2)sc1-c1ccc(Cl)cc1,0.925403226,0.05,0.08387950000000022
CCCCCCCCCCCCCCC[N+](C)(CO)O.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.355191257,1.0,0.035434333333333234
CCCCCCCCCCCCCCC[N+](C)(CO)O.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.355191257,0.1,0.08926512499999939
CCCCCCCCCCCCCCC[N+](C)(CO)O.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.355191257,0.01,0.04495124999999989
CCCCCCCCCCCCCCC[N+](C)(CO)O.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.355191257,0.5,0.07213366666666632
CCCCCCCCCCCCCCC[N+](C)(CO)O.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.355191257,0.05,0.10759924999999937
CCCCCCCCCCCCCCC[N+](C)(CO)O.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.355191257,0.005,0.07292675000000004
C[NH+]1CN(CCCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.276190476,1.0,0.023991500000000276
C[NH+]1CN(CCCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.276190476,0.1,0.047887000000000096
