SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,Concentration_mM
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,1.0
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.1
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.01
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.5
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.05
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.001
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,5.0
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.25
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.005
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,2.0
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.2
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.4
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,0.8
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0477936433313327,16.337699999999966,926.4799999999992,1,1,29.1,53,2.5
CCCCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.0484118690224015,12.436699999999984,786.2099999999996,1,1,29.1,43,1.0
