SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,Concentration_mM
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,1.0
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,0.1
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,0.01
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,0.5
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,0.05
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,0.001
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,5.0
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,0.25
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,0.005
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,2.0
CCCCCCCCCCCCCCCCC1=Nn2cnnc2N(CCC)C(=O)C1,0.2717151442171987,6.500300000000007,417.64200000000017,5,0,63.38,17,0.2
