SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,Concentration_mM,IE
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,1.0,0.8812475000000017
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,0.1,0.9515515000000001
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,0.01,0.9250300833333357
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,0.5,0.9474725000000015
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,0.05,0.952320500000003
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,0.001,0.8411853333333336
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,5.0,0.9339415000000014
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,0.25,0.8773605000000011
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,0.005,0.8248463333333332
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,2.0,0.8705205000000015
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,0.2,0.882807500000001
CCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],0.0271150535078584,10.635799999999996,1033.1759999999992,4,0,43.18000000000001,33,0.4,0.9480950000000015
